Instance	Generations	AdjSwap	Swap	Insertion	Reversal	3opt	BlockMove	BlockSwap	Cycle	Scramble	Uniform
60	10	39915	38124	41362	39512	38763	38498	37512	38766	38925	39423
60	100	31975	27637	27685	26016	24688	27444	25821	32611	36159	38722
60	1000	26848	15140	14497	9435	12081	13840	13796	20387	25638	35371
60	10000	25447	9832	7903	4271	6158	6315	7847	12779	19176	32353
61	1	43892	43570	43730	44324	43627	45256	44332	41803	43685	44531
61	10	41711	41571	42440	42699	42307	41994	41382	38174	39820	41697
61	100	32708	26858	28264	27761	26558	28021	29383	30438	36814	38854
61	1000	25374	14520	14452	11381	13653	12089	15398	22129	27678	35722
61	10000	23410	8931	8555	4523	7092	6803	9026	12052	19305	32697
62	1	44221	40810	39511	41127	42483	41221	40998	41064	42481	42257
62	10	42285	38657	36672	38276	40143	38694	37455	40022	37874	39756
62	100	30764	27228	26606	25317	25086	25992	25328	33025	34617	38575
62	1000	22185	16041	13005	11229	12514	12855	15533	20820	26736	34445
62	10000	19615	8228	8577	4103	6130	6190	8164	10875	17506	30820
63	1	40717	43095	42857	39079	43876	43218	43276	43772	43400	44101
63	10	38494	39017	39328	36524	39715	40172	38743	40789	41941	41982
63	100	31326	28542	26431	22662	28512	24970	26566	28989	35060	37278
63	1000	25673	16914	14963	11426	13324	12815	16778	21002	26809	35705
63	10000	21832	10256	8880	4626	5674	6964	8665	15604	16602	33070
64	1	44772	42175	44925	43063	43662	43686	43693	42989	43987	43893
64	10	42573	40758	40019	40657	40052	40392	41309	39582	41718	39722
64	100	31899	23287	27488	26471	28490	25342	28339	32096	32197	37045
64	1000	26658	14724	13237	10290	13483	12230	13967	20624	23482	36160
64	10000	25202	9637	8575	3998	6127	5990	7297	12149	16103	32401
65	1	43948	43942	40835	43810	44605	43246	41238	42307	41564	42834
65	10	41613	40630	39279	41500	40657	39201	39881	38950	40002	38137
65	100	32340	27327	27452	30771	26707	28586	25093	29359	33300	37816
65	1000	27658	15069	13971	10446	12970	13601	15448	22906	23993	34507
65	10000	24189	8699	8365	4145	6003	6367	8425	12278	16654	33114
66	1	42280	43290	42944	42772	43644	43898	42818	38449	44222	43356
66	10	41061	39974	39921	39658	41442	40483	39611	35713	40966	40499
66	100	31424	27616	26542	25016	28998	25793	27230	30813	36835	39614
66	1000	27250	15455	15141	9800	13074	13320	16118	19702	24588	32118
66	10000	25459	9948	8264	4177	6486	6795	8256	13832	15212	32118
67	1	40049	44648	40832	39754	39211	39936	43569	43722	42309	43568
67	10	38834	41933	39209	38301	36673	38627	41201	42088	42309	41666
